% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+003) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.071729850e+002 +1.307172985e+003 +1.307172985e+003 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
49 0 +1.884451658e+002 +1.188445166e+003 +1.188445166e+003 -1.4505e+000 +3.2292e+000 +4.0485e+000 +1.1012e+000 +1.9730e+000 -3.1428e+000 -5.8317e-001 -2.7339e+000 -2.5729e+000 -3.3795e-001
260 0 +1.444610782e+002 +1.144461078e+003 +1.144461078e+003 -1.3072e+000 +1.3740e+000 +1.8559e+000 +1.5114e+000 +1.7179e+000 -1.4917e+000 -1.5875e+000 -2.9763e+000 -1.0310e+000 +1.0094e-001
330 0 +1.243294266e+002 +1.124329427e+003 +1.124329427e+003 -1.0192e+000 +2.0237e+000 +2.6868e+000 +1.1470e+000 +2.5593e+000 -2.9928e+000 -1.5621e+000 -1.2824e+000 +9.9759e-002 +2.9860e-001
445 0 +1.177074236e+002 +1.117707424e+003 +1.117707424e+003 -1.0048e+000 +2.2658e+000 +2.5854e+000 +1.0987e+000 +1.9719e+000 -3.3932e+000 -2.4985e+000 -5.1163e-001 -3.3337e-001 +1.1624e+000
464 0 +1.158637566e+002 +1.115863757e+003 +1.115863757e+003 -8.0116e-001 +2.8753e+000 +3.8307e+000 +1.7058e+000 +3.3248e+000 -3.1615e+000 -1.6940e+000 -1.8437e+000 -8.7825e-001 +1.5401e-001
544 0 +1.125821396e+002 +1.112582140e+003 +1.112582140e+003 -8.2980e-003 +1.3771e+000 +2.2525e+000 +2.9421e+000 +2.1615e+000 -3.2205e+000 -2.5989e+000 -2.3472e+000 +9.5479e-003 -3.8681e-002
873 0 +1.064186273e+002 +1.106418627e+003 +1.106418627e+003 -1.5170e+000 +3.6167e+000 +4.5949e+000 +2.4861e+000 +3.2366e+000 -4.0277e+000 -1.9627e+000 -2.6042e+000 -1.5069e+000 -3.0265e-001
913 0 +9.335360921e+001 +1.093353609e+003 +1.093353609e+003 -3.7373e-001 +2.4460e+000 +3.1982e+000 +2.7090e+000 +1.9533e+000 -3.9915e+000 -1.6540e+000 -2.4772e+000 -6.5547e-001 +1.7604e-001
972 0 +7.491022288e+001 +1.074910223e+003 +1.074910223e+003 -1.4191e+000 +2.6167e+000 +2.7112e+000 +2.8122e+000 +3.2535e+000 -2.0250e+000 -1.9367e+000 -1.9484e+000 -3.6179e-001 -1.5365e-001
1488 0 +7.204866062e+001 +1.072048661e+003 +1.072048661e+003 -1.3723e+000 +2.5193e+000 +2.6282e+000 +2.7651e+000 +3.3381e+000 -1.9569e+000 -1.9436e+000 -1.8477e+000 -3.2323e-001 -1.6931e-001
1509 0 +7.049217893e+001 +1.070492179e+003 +1.070492179e+003 -1.2505e+000 +2.5147e+000 +2.4961e+000 +2.8638e+000 +3.4125e+000 -1.7772e+000 -1.8523e+000 -1.6819e+000 -2.8280e-001 -1.4801e-001
1608 0 +6.563191017e+001 +1.065631910e+003 +1.065631910e+003 -1.2494e+000 +2.5781e+000 +2.5743e+000 +2.9265e+000 +3.4431e+000 -1.8557e+000 -1.9011e+000 -1.7057e+000 -2.8853e-001 -2.7591e-001
2162 0 +6.328290673e+001 +1.063282907e+003 +1.063282907e+003 -1.2563e+000 +2.5085e+000 +2.4864e+000 +2.9370e+000 +3.4583e+000 -1.8175e+000 -1.9142e+000 -1.6921e+000 -2.0229e-001 -2.6690e-001
2308 0 +6.214661540e+001 +1.062146615e+003 +1.062146615e+003 -1.2511e+000 +2.5229e+000 +2.5024e+000 +2.9417e+000 +3.4574e+000 -1.8274e+000 -1.9108e+000 -1.6927e+000 -2.2013e-001 -2.7153e-001
